,,,,,,,ATHLETIC PROFILE,,,,,,,,,,,FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOPHOMORE / RS FRESHMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUNIOR / RS SOPHMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SENIOR / RS JUNIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Profile,,,,,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,,Rushing Production,,,,,,,,,,,,,,,,,,Receiving Production,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,30,31,32,33,34,35,36,37,38,39,40,41,42,43,7,8,9.0,10,11,12.0,13,14.00,15,16.00,17,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Year,Rank,Player,Draft Year,Round,Pick,Exp,Height,Weight,Arm,Hand,Wing,40 T,10 Splt,Vert,Broad,3 Cone,Shuttle,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC,Attempts,Yards,Y/A,TDs,Fumbles,Run Grade,YCO,YCO/A,MTF,MTF/A,10+,Zone,Gap,15+,BAY,BAY%,1Ds,1D/A,TGT,Rec,Rec %,Rec Yards,Y/REC,TDs,Rec Grade,RECV,YAC,YAC/REC,Y/RR,ADOT,MTF,MTF/REC
2023,18,James Conner,2017,3,105,6,73.25,233,31.25,9.88,76.000,4.65,1.63,29.0,113,7.14,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,"1,675",6.1,24,3,90.9,822,2.99,84,0.31,49,9,122,21,554,33.07%,4,0.01,7,5,71.43%,70,14.0,0,66.3,68,66,13.2,1.03,1.1,3,0.60,8,77,9.6,2,0,68.1,19,2.38,2,0.25,2,1,7,1,40,51.95%,4,0.50,1,1,100.00%,7,7.0,0,63.2,4,14,14.0,1.75,-7.0,0,0.00,208,"1,056",5.1,15,1,71.9,626,3.01,39,0.19,31,156,47,23,541,51.23%,62,0.30,55,1,74.07%,23,20.0,1,299.0,15,4,74.2,128.00,235.0,12,2.34
2023,19,Kenneth Walker,2022,2,41,1,69.25,211,30.38,9.50,73.000,4.38,1.50,34.0,,,,90,555,6.2,4,1,85.1,405,4.50,35,0.39,14,52,38,9,268,48.29%,29,0.32,6,2,33.33%,15,7.5,0,38.3,48,26,13.0,0.31,4.3,2,1.00,119,579,4.9,13,0,85.0,456,3.83,34,0.29,20,56,62,4,144,24.87%,45,0.38,2,2,100.00%,23,11.5,0,61.3,30,30,15.0,0.77,-3.5,0,0.00,262,"1,634",6.2,18,1,90.7,"1,168",4.46,88,0.34,46,177,84,30,881,53.92%,75,0.29,16,13,81.25%,89,6.8,1,61.8,204,117,9.0,0.44,-2.1,2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,20,D'Andre Swift,2020,2,35,3,68.25,212,29.88,9.00,,4.48,1.59,35.5,121,,,66,505,7.7,2,2,83.4,329,4.98,15,0.23,16,40,12,9,265,52.48%,24,0.36,15,12,80.00%,129,10.8,1,75.2,54,109,9.1,2.39,2.1,4,0.33,139,962,6.9,9,0,82.7,576,4.14,31,0.22,29,117,12,17,468,48.65%,46,0.33,26,21,80.77%,204,9.7,1,75.6,130,238,11.3,1.57,-0.7,6,0.29,194,"1,204",6.2,7,3,80.3,685,3.53,40,0.21,38,157,25,18,458,38.04%,57,0.29,26,21,80.77%,198,9.4,1,65.6,182,192,9.1,1.09,2.2,4,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,21,Brian Robinson,2022,3,98,1,73.63,225,31.88,9.75,76.375,4.53,1.57,30.0,,,,24,165,6.9,2,0,77.5,107,4.46,6,0.25,7,15,9,2,32,19.39%,9,0.38,0,0,0.00%,0,0.0,0,55.9,5,0,0.0,0.00,0.0,0,0.00,63,272,4.3,2,0,76.7,194,3.08,10,0.16,7,48,14,2,36,13.24%,15,0.24,0,0,0.00%,0,0.0,0,54.4,10,0,0.0,0.00,0.0,0,0.00,93,424,4.6,5,1,81.0,274,2.95,17,0.18,12,54,36,4,88,20.75%,30,0.32,13,11,84.62%,124,11.3,0,65.3,86,143,13.0,1.44,-0.5,3,0.27,74,384,5.2,6,1,87.7,289,3.91,17,0.23,11,37,37,4,66,17.19%,29,0.39,88,0,19.35%,10,6.0,1,26.0,4,0,42.0,75.00,26.0,4,0.35
2023,22,Jaylen Warren,2022,UDFA,UDFA,1,68.00,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,23,Najee Harris,2021,1,24,2,73.38,232,33.38,10.25,81.000,4.57,,,117,,,55,306,5.6,3,0,75.7,221,4.02,15,0.27,11,30,25,4,74,24.18%,18,0.33,9,5,55.56%,23,4.6,0,52.4,46,35,7.0,0.50,-0.4,0,0.00,98,664,6.8,4,0,91.5,452,4.61,33,0.34,22,58,39,11,260,39.16%,30,0.31,3,3,100.00%,3,1.0,0,52.0,78,15,5.0,0.04,-4.0,0,0.00,185,"1,088",5.9,11,0,88.2,660,3.57,51,0.28,41,85,98,14,287,26.38%,74,0.40,33,27,81.82%,304,11.3,7,72.7,231,278,10.3,1.32,1.4,11,0.41,184,"1,082",5.9,22,2,88.9,576,3.13,54,0.29,35,87,96,14,349,32.26%,61,0.33,101,1,70.97%,33,27.0,1,249.0,9,0,75.7,196.00,253.0,9,1.27
2023,24,De'Von Achane,2023,3,84,R,68.50,188,29.00,8.50,69.125,4.32,1.49,33.0,,,,31,224,7.2,2,0,86.6,113,3.65,12,0.39,8,22,9,4,89,39.73%,12,0.39,3,3,100.00%,73,24.3,1,73.7,25,50,16.7,2.92,7.7,0,0.00,130,885,6.8,9,1,91.0,522,4.02,36,0.28,27,101,29,18,461,52.09%,49,0.38,29,24,82.76%,261,10.9,1,80.5,141,207,8.6,1.85,3.0,7,0.29,196,"1,100",5.6,8,1,89.8,705,3.60,53,0.27,35,117,79,18,471,42.82%,63,0.32,44,36,81.82%,196,5.4,3,60.8,297,245,6.8,0.66,-0.6,7,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,Austin Ekeler,2017,UDFA,UDFA,5,69.00,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2,Christian McCaffrey,2017,1,8,5,71.25,202,30.00,9.00,72.625,4.48,1.55,37.5,121,,4.22,35,243,6.9,0,0,66.7,71,2.03,3,0.09,9,0,22,5,132,54.32%,,,17,16,94.12%,251,15.7,2,94.0,38,190,11.9,6.61,5.5,7,0.44,287,"1,635",5.7,7,2,82.7,733,2.55,59,0.21,45,59,223,16,464,28.38%,75,0.26,45,37,82.22%,437,11.8,3,92.0,212,404,10.9,2.06,2.4,10,0.27,252,"1,590",6.3,13,3,80.4,830,3.29,44,0.17,38,54,195,16,602,37.86%,74,0.29,46,38,82.61%,318,8.4,3,83.9,191,290,7.6,1.66,1.9,21,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3,Josh Jacobs,2019,1,24,3,70.00,220,31.63,10.13,74.250,4.64,1.60,35.0,112,,,78,513,6.6,3,2,73.0,373,4.78,24,0.31,16,43,32,9,255,49.71%,25,0.32,15,12,80.00%,164,13.7,0,73.6,76,188,15.7,2.16,-0.5,10,0.83,43,276,6.4,1,0,76.6,137,3.19,4,0.09,9,31,11,2,67,24.28%,13,0.30,12,12,100.00%,166,13.8,2,92.1,47,147,12.3,3.53,1.6,4,0.33,87,417,4.8,9,0,79.1,328,3.77,25,0.29,18,61,25,4,69,16.55%,33,0.38,17,15,88.24%,171,11.4,2,68.0,110,149,9.9,1.55,2.0,4,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
